0	2	4	5.5	7	8	11	9.5	11	11	6.5	11	13	10	4	15
11	0	3	4.5	6	7	10	8.5	10	10	5.5	14	15	15	8	5
11	12	0	2.5	4	7	10	8.5	10	10	5.5	1	12	15	10	12
9.5	10.5	4.5	0	2.5	5.5	8.5	7	8.5	8.5	4	9	13	10	12	11
11	12	6	4.5	0	4	7	8.5	10	10	9.5	10	4	2	8	13
8	9	11	9.5	11	0	4	5.5	7	7	6.5	9	15	7	12	2
7	8	10	8.5	10	11	0	2.5	4	6	5.5	5	12	3	13	5
5.5	6.5	8.5	7	8.5	9.5	4.5	0	2.5	4.5	4	7	11	8	14	2
8	5	7	8.5	10	11	6	4.5	0	3	5.5	11	5	2	8	2
2	3	5	6.5	8	9	12	10.5	12	0	7.5	8	10	11	13	2
6.5	7.5	5.5	4	5.5	6.5	5.5	4	5.5	5.5	0	3	8	8	14	6
7	3	3	13	8	5	6	11	6	14	11	0	4	10	11	12
3	7	15	11	11	7	6	14	12	2	15	6	0	13	14	5
8	5	5	3	8	7	13	4	9	7	9	12	7	0	11	1
5	14	11	6	9	14	4	11	10	6	10	5	3	6	0	3
13	5	5	12	12	4	14	1	10	5	8	12	5	7	2	0
